Player name,Guild,Discord name,,,,,,,,,,,,,,,,,,,,,Guild,public?,Discord,Score Rank,Avg Score,NM Clears,>30s left,>20s left,>10s left,VH Clears,Misses,Best Phase,Best Score,Worst Phase,Worst Score,Normalized Avgs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,R. Arrancar,M. Arrancar,R. Hollow,M. Espada,M. Squad Zero,R. Captain,M. Human,R. No Aff,M. Soul Reaper,M. Stern Ritter,R. Squad Zero,M. Hollow,R. Stern Ritter,R. Espada,M. Quincy,R. Human,M. No Affiliation,R. Soul Reaper,M. Captain,R. Quincy,,,,(need to sort avg score first),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kocejam,45,kocejam,"165,435,199","166,261,300","484,029,399","480,805,800","165,939,700","165,329,800","304,217,300","304,858,000","166,746,900","166,324,500","165,415,900","166,569,500","166,471,300","165,569,600","166,403,100","165,953,000","303,636,000","302,711,300","166,531,400","166,012,300",45,y,@kocejam,1,"231,815,422",6,20,20,20,20,0,R. Hollow,"484,029,399",R. Captain,"165,329,800",0.99560,0.9840188325,0.9988018418,0.9852217751,0.987480366,0.9992962745,0.9924855135,1,1,0.9933678831,1,0.996349907,0.997253907,0.9999590352,0.9995302757,0.9973525686,0.9948191064,0.9957556562,0.991980645,1,0.9984129894,,,,,,,,,,,,,,,,,,,,,,,
sKy,44,skyx222,,,,,,,,,,,"165,041,299","166,505,000","166,149,100","164,536,200","166,684,700","165,054,900","304,054,000","300,551,600","166,484,900","165,440,699",44,y,@skyx222,2,"199,822,100",2,10,10,10,10,0,M. No Affiliation,"304,054,000",R. Espada,"164,536,200",0.99304,-1.645103088,-0.7846121112,-0.2127909094,-0.06565544901,-0.5577169832,-0.7142991408,-0.1816394424,-0.000000003280215718,-12.77854907,-0.5669740329,0.992518782,0.9956436979,0.9969592921,0.9863037603,1,0.9864549855,0.9982643323,0.9824858799,0.9994358946,0.9923043239,,,,,,,,,,,,,,,,,,,,,,,
Silver,45,nando9362,165454800,"166,357,400","481,321,600","480,541,400","164,796,000","165,074,600","304,026,100","304,003,100","166,319,600","164,953,300","164,879,600","166,495,800","165,942,700","164,670,500","166,181,900","165,604,200","303,647,200","301,853,400","166,335,300","165,953,500",45,y,@nando9362,3,"231,229,067",6,20,20,20,20,0,R. Hollow,"481,321,600",R. Espada,"164,670,500",0.99026,0.9843303346,0.9998326655,0.9785197492,0.9869012359,0.9885649302,0.9898509525,0.9992573418,0.9971957436,0.9580764317,0.9870816699,0.9908650516,0.9954140247,0.995037669,0.9880226697,0.9952729811,0.9915706871,0.9958228743,0.9882090291,0.9976210522,0.9977845974,,,,,,,,,,,,,,,,,,,,,,,
Kayers,45,kayers.j,"165,627,800","166,003,700","482,677,800","480,990,000","165,626,100","164,406,900","300,636,700","303,437,299","166,827,200","164,745,400","165,729,600","166,390,000","164,829,000","164,855,599","165,791,400","155,935,347","302,880,300","301,100,400","165,647,800","164,782,200",45,y,@kayers.j,4,"230,471,697",6,19,19,19,19,0,R. Hollow,"482,677,800",R. Human,"155,935,347",0.98550,0.9870796775,0.9960386766,0.9818764561,0.9878838296,0.9963537637,0.9829579416,0.9860922499,0.9953397942,1,0.9851230054,0.9995581843,0.9927727825,0.984668911,0.990391757,0.9916017383,0.9015234137,0.991220234,0.9848985887,0.9892807838,0.9852669846,,,,,,,,,,,,,,,,,,,,,,,
pat7res,45,pat7res,"164,929,800","165,316,500","484,175,600","481,565,200","164,046,800","164,554,600","302,237,600","302,640,500","166,642,200","163,994,000","163,839,000","166,316,000","162,304,100","164,801,200","166,334,400","163,644,500","303,088,300","301,993,000","166,377,600","163,574,200",45,y,@pat7res,5,"230,690,183",6,14,19,19,20,0,R. Hollow,"484,175,600",R. Stern Ritter,"162,304,100",0.98485,0.9759869529,0.9886673757,0.9855836346,0.9891437223,0.9815351818,0.9844827247,0.9923104583,0.9927261216,0.9847205277,0.9780439263,0.9802226117,0.9909254109,0.9611616137,0.9896955027,0.9967066931,0.9733197486,0.9924685704,0.9888227575,0.9981342061,0.9723571612,,,,,,,,,,,,,,,,,,,,,,,
Nour,45,nour.db,"164,680,500","165,411,000","481,706,800","480,592,800","165,157,500","164,735,300","302,983,500","303,997,600","166,208,400","164,448,600","165,162,400","165,836,400","165,841,400","164,491,900","165,313,300","163,909,900","303,600,800","300,474,800","165,677,900","164,360,100",45,y,@nour.db,6,"230,808,494",6,18,20,20,20,0,R. Hollow,"481,706,800",R. Human,"163,909,900",0.98468,0.9720250385,0.9896810369,0.979473151,0.9870138202,0.991956887,0.9863481839,0.9952076797,0.9971777024,0.94889223,0.9823267974,0.993757308,0.9789524454,0.9940945468,0.9857367634,0.9871069338,0.975791453,0.9955443993,0.9821482414,0.9896459359,0.9807560273,,,,,,,,,,,,,,,,,,,,,,,
OverSeer,45,unseer,"165,569,000","165,876,100","483,359,599","482,394,800","164,106,800","164,857,000","283,170,759","303,904,200","166,626,400","164,370,800","163,532,600","166,183,600","165,434,899","164,615,600","166,235,100","163,772,000","303,001,600","302,366,200","166,147,200","165,415,600",45,y,@unseer,7,"229,965,392",5,16,20,20,20,0,R. Hollow,"483,359,599",R. Squad Zero,"163,532,600",0.98438,0.9861452188,0.9946699659,0.9835639648,0.9909608415,0.9820981622,0.9876045557,0.9182511219,0.9968713302,0.9834155782,0.9815938291,0.977088993,0.9876201135,0.9903099455,0.9873200031,0.9957731351,0.9745071725,0.9919482302,0.9904634697,0.9953391547,0.9920360924,,,,,,,,,,,,,,,,,,,,,,,
chrispy,45,9chrispy6,"165,758,200","166,106,500","481,559,200","480,449,200","165,250,000","164,220,400","303,045,100","303,215,600","165,886,500","164,546,400","165,251,500","166,324,500","164,963,100","164,312,200","166,589,900","161,564,500","301,980,000","301,973,300","165,608,900","164,023,100",45,,@9chrispy6,8,"230,722,006",6,16,19,19,20,0,R. Hollow,"481,559,200",R. Human,"161,564,500",0.98352,0.9891520146,0.9971413683,0.9791078288,0.9866992851,0.992824815,0.9810326061,0.9954469461,0.9946125737,0.9223059482,0.9832481894,0.9946685528,0.991137609,0.9859174074,0.9834367781,0.9991087482,0.9539484407,0.9858169779,0.9887361497,0.9888088762,0.9771545285,,,,,,,,,,,,,,,,,,,,,,,
kocejam(44),44,kocejam(44),"163,870,000","165,711,000","480,008,000","480,278,200","161,707,200","164,624,600","302,823,200","304,257,600","165,571,000","163,038,400","165,477,700","166,208,600","166,475,700","163,876,600","165,926,100","165,049,499","303,939,400","300,467,199","165,994,300","165,858,400",44,,@kocejam(44),9,"230,517,222",6,16,18,19,20,0,M. Espada,"480,278,200",M. Squad Zero,"161,707,200",0.98143,0.9591444464,0.9928990087,0.9752684809,0.9863247342,0.9595827002,0.9852053708,0.9945850432,0.9980305585,0.8962482536,0.969041041,0.9969819489,0.9882442255,1,0.9778615215,0.9928681055,0.9864046852,0.9975765469,0.9821148249,0.993484279,0.9967682694,,,,,,,,,,,,,,,,,,,,,,,
Forgotten,45,bazraeth,"166,158,400","166,373,000","481,273,600","480,259,800","164,721,500","164,169,800","300,981,700","302,863,700","165,488,800","162,884,900","164,373,000","166,349,900","165,269,900","164,388,600","166,142,100","162,005,700","302,433,300","300,463,400","165,823,600","163,683,900",45,y,@bazraeth,10,"230,366,728",6,14,18,19,20,0,R. Hollow,"481,273,600",R. Human,"162,005,700",0.98028,0.9955120553,1,0.9784009452,0.9862844317,0.9878658962,0.9805102362,0.9874322973,0.9934582658,0.8894592124,0.967594889,0.9856839445,0.9917717068,0.9887737736,0.9844146238,0.9948988058,0.9580573931,0.9885375111,0.9820981232,0.9914134662,0.9735295185,,,,,,,,,,,,,,,,,,,,,,,
kaedon,44,kaedon225,,,,,,,"302,451,000","304,213,700","165,398,899","164,057,200","165,070,600","165,606,800","165,839,900","164,116,800","165,610,500","165,194,400","302,988,400","300,475,000","165,676,500","163,928,900",44,,@kaedon225,11,"210,918,600",4,11,14,14,14,0,R. No Aff,"304,213,700",M. Stern Ritter,"164,057,200",0.97930,-1.645103088,-0.7846121112,-0.2127909094,-0.06565544901,-0.5577169832,-0.7142991408,0.9931393456,0.997886557,0.8820341322,0.9786393452,0.9928184497,0.9732206004,0.9940805816,0.980935848,0.9899010269,0.9877541669,0.9918690088,0.9821491207,0.9896289521,0.9761478188,,,,,,,,,,,,,,,,,,,,,,,
STEPPA60,44,aizenbanka1,"164,456,500","165,249,799","480,925,400","480,160,400","164,426,800","164,041,400","300,914,300","302,909,300","166,545,500","161,738,400","161,920,600","166,308,400","162,215,700","164,727,800","165,235,499","162,968,600","302,278,400","301,859,600","165,804,900","162,745,600",44,y,@aizenbanka1,12,"229,937,911",6,14,15,17,20,0,R. Hollow,"480,925,400",M. Stern Ritter,"161,738,400",0.97915,0.9684651957,0.9879519026,0.9775391215,0.9860667103,0.9851007242,0.9791846969,0.9871705025,0.9936078436,0.9767339063,0.9567934994,0.9606027225,0.9907356808,0.960338593,0.988756054,0.9863754962,0.9670250048,0.9876078605,0.9882362863,0.9911866109,0.9635019627,,,,,,,,,,,,,,,,,,,,,,,
Spanky,45,nawt0k,"165,034,300","165,275,800","483,566,200","466,813,740","164,342,800","163,729,200","301,769,600","304,109,899","165,926,800","163,955,700","162,494,800","165,593,000","164,610,400","163,732,300","165,383,300","163,719,900","301,959,199","300,945,700","164,571,300","163,563,600",45,y,@nawt0k,13,"229,609,035",6,13,19,20,20,0,R. Hollow,"483,566,200",R. Squad Zero,"162,494,800",0.97683,0.9776476832,0.9882308042,0.9840753193,0.956832775,0.9843125517,0.9759616955,0.9904926549,0.9975460673,0.9256343954,0.9776830949,0.9664751893,0.9728760905,0.9826337036,0.9760146218,0.9877650311,0.9740219585,0.9856921383,0.9842184756,0.9762214399,0.9722438796,,,,,,,,,,,,,,,,,,,,,,,
usurper,45,,"164,464,800","164,913,200","481,226,000","480,859,200","162,450,300","163,769,700","300,989,700","303,358,300","165,406,500","162,763,100","164,899,799","165,428,189","164,416,600","164,001,400","164,938,200","163,536,400","301,623,100","300,268,300","164,560,000","163,303,600",45,,usurper,14,"229,961,822",6,14,17,20,20,0,R. Hollow,"481,226,000",M. Squad Zero,"162,450,300",0.97399,0.9685971006,0.9843413489,0.9782831313,0.987597331,0.9665552122,0.9763797979,0.9874633709,0.9950806605,0.882661912,0.9664473886,0.9910716311,0.9687616693,0.9808293889,0.9794588402,0.9835804724,0.9723129994,0.9836750007,0.9812403982,0.9760843562,0.9694652752,,,,,,,,,,,,,,,,,,,,,,,
JtBlixk,45,jtcal,"165,648,400","165,807,200","483,352,600","481,858,200","163,388,400","163,599,600","236,572,795","304,172,699","166,555,400","165,372,300","163,698,600","166,377,800","165,505,100","163,871,400","165,665,400","165,212,800","301,969,600","301,628,000","165,236,500","164,696,200",45,y,@jtcal,15,"227,236,461",5,16,19,20,20,0,R. Hollow,"483,352,600",M. Squad Zero,"163,388,400",0.97341,0.9874070559,0.9939309051,0.9835466417,0.9897854965,0.9753574104,0.974623768,0.7372555237,0.9977520649,0.9775515645,0.9910291468,0.9787867107,0.9924682158,0.9909635301,0.9777949666,0.9904171632,0.9879255285,0.9857545611,0.9872180951,0.9842911803,0.9843479078,,,,,,,,,,,,,,,,,,,,,,,
Yozora,45,ns_yozora,"165,604,400","165,587,100","481,782,600","480,455,400","165,564,200","164,274,900","303,389,300","302,717,500","165,454,399","164,827,700","164,113,100","165,240,500","165,698,100","164,784,300","166,045,200","161,699,100","303,513,300","266,726,536","165,502,600","162,954,700",45,,@ns_yozora,16,"228,748,758",5,16,18,19,20,0,R. Hollow,"481,782,600",R. Human,"161,699,100",0.97224,0.9867078011,0.9915699864,0.9796607622,0.9867128653,0.9957729556,0.9815952376,0.9967838862,0.9929786983,0.8866179739,0.985898369,0.9830258913,0.9640761107,0.9927603967,0.9894791991,0.9939878111,0.9552019878,0.9950192578,0.8337795614,0.9875193191,0.9657366019,,,,,,,,,,,,,,,,,,,,,,,
Rokushiki,44,rokushiki_3799,"164,817,799","163,300,100","480,189,400","480,000,000","164,120,600","163,424,500","302,040,400","303,940,100","165,129,999","161,547,700","163,301,700","165,588,300","164,839,000","164,011,500","164,098,700","162,798,300","301,223,100","300,562,700","164,008,000","163,501,800",44,y,@rokushiki_3799,17,"229,718,550",6,10,16,19,20,0,R. Hollow,"480,189,400",M. Stern Ritter,"161,547,700",0.97094,0.9742070156,0.9670383142,0.9757174608,0.9857153772,0.9822276477,0.9728161206,0.991544495,0.99698909,0.8598252127,0.9549968792,0.9747275291,0.9727587575,0.9847620129,0.9795881104,0.9756880055,0.965438979,0.9812743538,0.9825346793,0.9693878789,0.9715834267,,,,,,,,,,,,,,,,,,,,,,,
Aj,44,ajalt,"164,748,100","165,091,800","483,563,199","405,523,193","163,974,000","164,302,600","302,201,900","303,468,200","165,223,500","164,344,300","162,968,000","166,236,200","165,799,100","162,892,900","165,258,600","164,647,999","303,126,200","301,024,100","165,300,300","164,531,200",44,y,@ajalt,18,"226,355,216",6,15,18,20,20,0,R. Hollow,"483,563,199",R. Espada,"162,892,900",0.96993,0.9730993483,0.9862571148,0.9840678916,0.8225846645,0.980852099,0.981881199,0.9921717926,0.9954411562,0.8675476232,0.9813441677,0.9713147075,0.9889332452,0.9937007258,0.9652711178,0.9865926777,0.982665464,0.9926960317,0.9845631483,0.9850651572,0.9825845627,,,,,,,,,,,,,,,,,,,,,,,
Fakka,45,jeweet1791,,,,,,,"300,933,200","300,700,500","163,620,900","164,955,599","162,137,400","166,645,800","161,574,900","164,176,200","165,283,300","163,796,300","301,541,900","302,177,700","165,445,900","163,386,100",45,y,@jeweet1791,19,"209,795,308",4,8,11,12,14,0,R. Soul Reaper,"302,177,700",R. Stern Ritter,"161,574,900",0.96325,-1.645103088,-0.7846121112,-0.2127909094,-0.06565544901,-0.5577169832,-0.7142991408,0.9872439138,0.9863625032,0.7351860974,0.9871033292,0.9628199827,0.999158697,0.9543726236,0.9816961103,0.9868248921,0.9747334815,0.9831876694,0.9896347606,0.9868314744,0.9703469478,,,Phase,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,#REF!
大猿,45,edo_tensi,"165,215,300","166,103,600","480,876,000","398,991,482","166,005,200","165,134,500","303,184,600","304,330,300","166,556,800","164,888,600","165,772,800","166,464,400","121,112,108","165,476,200","166,454,400","164,427,100","303,155,400","301,048,800","165,971,000","163,865,400",45,,@edo_tensi,20,"224,177,644",6,18,19,19,19,0,R. Hollow,"480,876,000",R. Stern Ritter,"121,112,108",0.96037,0.9805241633,0.9971102613,0.9774168525,0.8082778929,0.9999108614,0.990469331,0.9959887914,0.9982690302,0.9776671929,0.9864721192,1,0.99463014,0.5776563646,0.9983348465,0.9978348599,0.9806082032,0.9928712789,0.9846717378,0.9932016198,0.9754691981,,,,,,,,,,,,,,,,,,,,,,,
xenoAM,44,xenoam,"165,182,100","165,814,500","480,801,399","481,593,800","164,577,300","163,894,200","267,711,898","302,532,300","163,827,200","162,988,000","162,174,600","165,873,700","161,686,500","164,468,000","165,769,500","162,776,200","302,205,300","300,993,900","161,713,300","161,660,600",44,y,@xenoam,21,"228,048,355",5,12,14,16,20,0,M. Espada,"481,593,800",R. Stern Ritter,"161,686,500",0.95908,0.9799965438,0.994009209,0.9772322088,0.9892063664,0.9865128667,0.9776650755,0.8582058849,0.9923712023,0.7522247738,0.9685662133,0.9632004351,0.9798836206,0.9554116407,0.9854308666,0.9913958479,0.9652331588,0.9871691423,0.984430379,0.941550186,0.9519066329,,,,,,,,,,,,,,,,,,,,,,,
mitsuri,45,kimetsyaiba,"165,770,300","166,304,700","266,620,101","480,359,200","165,112,500","165,035,100","276,247,602","303,932,700","166,593,300","165,967,800","164,097,600","166,468,400","163,150,300","165,047,300","166,440,900","161,400,000","303,736,900","300,000,000","166,014,200","166,160,800",45,y,@kimetsyaiba,22,"217,349,150",3,17,18,19,20,0,M. Espada,"480,359,200",R. Human,"161,400,000",0.95643,0.9893443097,0.9992673751,0.4471158309,0.9865021531,0.9915346517,0.9894431737,0.8913602272,0.9969648164,0.9806817915,0.996639463,0.9828673695,0.9947299979,0.969039896,0.9928453434,0.9977079411,0.952416431,0.9963612194,0.9800608615,0.9937256919,1,,,,,,,,,,,,,,,,,,,,,,,
Shideki,45,shidekix,"166,040,400","165,709,400","302,310,415","423,166,515","165,019,100","164,377,500","303,501,400","303,431,600","165,459,500","162,294,200","163,799,700","165,881,500","166,023,200","163,702,100","164,875,400","161,640,099","302,930,600","300,737,800","165,783,700","163,800,600",45,y,@shidekix,23,"217,272,246",6,14,18,18,20,0,M. Espada,"423,166,515",R. Human,"161,640,099",0.95038,0.9936367809,0.9928818462,0.5354523018,0.8612298187,0.9906582789,0.9826544303,0.9972193045,0.9953211003,0.8870392744,0.9620297945,0.9798206821,0.9800783435,0.9957871393,0.9756280912,0.9829900651,0.9546525039,0.9915221154,0.9833044775,0.9909294274,0.9747766844,,,,,,,,,,,,,,,,,,,,,,,
